country,population,total_cases,total_deaths,incidence,mortality,cfr,recovery_rate,vaccination_rate
Equatorial Guinea,1803549.0,17130.0,183.0,0.0,2.3287418306904883,1.0683012259194395,98.85512457511554,7.741831984234048
Eritrea,3409450.0,10189.0,103.0,0.0,0.08799073164293361,1.0108941014819903,99.20948072214652,
Estonia,1350093.0,617344.0,3417.0,0.0,6.369931552863395,0.5381135235438922,99.29381195606497,53.832975090617204
Eswatini,1218921.0,75356.0,1427.0,0.0,1.9689545097672447,1.9029965193966953,97.93729346613335,16.990552933415618
Ethiopia,125384285.0,501324.0,7574.0,0.003987740568923769,0.03907985757545294,1.5119394106350783,98.16878218426311,21.447332095884267
Europe,748314268.0,254938991.0,2111189.0,2.0520121901511037,2.5052308637792806,0.8333547984000453,97.54271953256215,54.85258342490741
European Union (27),449113463.0,186970603.0,1270487.0,1.328728816129923,3.498893107107769,0.6798182810384054,97.35817447963142,60.76589901846993
Falkland Islands,3515.0,1923.0,0.0,0.0,0.0,0.0,100.0,16.55761024182077
Faroe Islands,54039.0,34658.0,28.0,0.0,3.7010307370602713,0.08078942812626233,99.91399539604677,44.55044116883326
Fiji,919428.0,69047.0,885.0,0.0,3.154134962172133,1.2817356293539184,98.41573996221142,56.90709920991218
Finland,5569300.0,1517778.0,11466.0,1.4005350762214281,3.662937891656043,0.7584186052664652,98.90282818947007,59.27715644828029
France,66277412.0,39058710.0,168202.0,0.0,8.452351760506279,0.4310134167993666,97.52816585406893,61.88248918363775
French Guiana,298319.0,98041.0,413.0,0.0,3.352116358663042,0.42125233320753563,99.53526249049708,
French Polynesia,280388.0,79451.0,650.0,0.0,19.259026777180193,0.8184439491809266,99.22838549899238,38.14615441339134
Gabon,2430750.0,49069.0,307.0,0.0,0.24683739586547362,0.6258791869686653,99.27717178364932,4.3389855240152215
Gambia,2636472.0,12627.0,372.0,0.0,4.286030725909472,2.946301283066688,97.25939449366292,7.25678534178871
Georgia,3794782.0,1864337.0,17151.0,0.23716777406449172,2.2662698410606987,0.9265559307028941,98.97289995788213,19.048570017822005
Germany,84086227.0,38437952.0,174979.0,0.0,7.682589920463431,0.4552268868141002,98.09491910561708,57.06995886028092
Ghana,33149152.0,172779.0,1463.0,0.0,0.9080171945273291,0.8496789004442398,99.23646411189074,13.354394021546481
Gibraltar,37631.0,20550.0,113.0,0.0,23.91645186149717,0.5498783454987834,99.29676756252377,87.76443585015488
Greece,10412481.0,5860196.0,40239.0,0.0,7.030024832698374,0.6966435973277515,98.55868886086269,61.76439826266389
Greenland,56014.0,11971.0,21.0,0.0,5.355803906166315,0.1754239411912121,99.8804356001336,36.60907575303976
Grenada,116928.0,19693.0,238.0,0.0,11.117952928297756,1.2085512618696999,98.88989425495309,22.139200028670473
Guadeloupe,384702.0,203235.0,1021.0,0.0,26.77397050184298,0.5023740989494919,98.81152576261242,
Guam,165193.0,52287.0,419.0,0.0,7.26423032452949,0.8097404125166654,98.8626962386828,
Guatemala,17847877.0,1255261.0,20205.0,0.12046250654909825,0.6779517810437622,1.6294347842585395,97.8281681006346,15.930880363906306
Guernsey,63750.0,35326.0,67.0,0.0,6.2745098039215685,0.18966200532185926,98.79295602513103,40.82496732026144
Guinea,14055136.0,38593.0,468.0,0.0,0.0924928794712481,1.2126551447153628,98.93586388049826,6.446242314982616
Guinea-Bissau,2105535.0,9614.0,177.0,0.0,0.2849632041262672,1.841065113376326,98.1851045576524,8.278362574289739
Guyana,821638.0,75520.0,1312.0,0.0,1.7039134022525735,1.775570130903702,97.35856069751608,28.421108200935205
Haiti,11503603.0,35027.0,860.0,0.0,0.10431514369889154,2.5045684187896375,97.42465964502273,0.7560603929613324
High-income countries,1410112397.0,458028338.0,3500908.0,3.503515046396688,1.5222190830792335,0.7636668059007521,98.05213703614437,59.64448857859904
Honduras,10463880.0,473041.0,11114.0,0.0,0.9365550828182281,2.351865394835889,97.41044966561806,31.18871514381354
Hungary,9684308.0,2240737.0,49124.0,0.0,5.0494056983730795,2.215860156624435,96.79883598727695,42.958466200655415
Iceland,380368.0,211246.0,186.0,0.0,18.140327262019937,0.08862629246676515,99.82086280448269,40.91881508734399
India,1425423209.0,45056126.0,533847.0,0.02062545341928693,0.43131050211488453,1.1850570502720146,98.67918018660741,49.82040985724339
Indonesia,278830527.0,6830274.0,162059.0,0.08858427470533024,0.7420277909527461,2.388560178461963,97.13443741694033,26.584347270882553
Iran,89524247.0,7627863.0,146837.0,0.11840367671565,0.7919642150131685,1.9250083542402374,97.31912033736859,50.33148534073493
Iraq,44070556.0,2465545.0,25375.0,0.0,0.27682881967724665,1.029184216876999,98.53448245313967,12.11337624717056
Ireland,5110015.0,1766266.0,9773.0,2.2896214590368134,1.5068448918447401,0.5532497973532149,98.59308534922755,75.05151886201821
Isle of Man,84148.0,38008.0,116.0,0.0,7.130294243475781,0.3051989054935803,98.17601099079971,51.041272658567664
Israel,9103143.0,4841701.0,12707.0,1.2742851562366975,0.8238912648082097,0.26245683724123514,99.5739244381344,59.7037472917415
Italy,59619106.0,26969856.0,198523.0,2.566291416714635,1.6655734488873417,0.7366898086662161,97.49583949497463,64.50522825364858
Jamaica,2839150.0,157666.0,3634.0,0.0,1.6906468485286088,2.295579653070657,97.77975426881335,20.623220815402068
Japan,124997585.0,33803572.0,74694.0,0.032800633708243244,7.922553063725191,0.2209648140143296,99.19557289840156,64.61183190059232
Jersey,103493.0,66391.0,161.0,0.0,3.8649957001922832,0.24250274886656326,98.66583793493261,67.79985705371963
Jordan,11256269.0,1746997.0,14122.0,0.0,0.9861171583586,0.8083585718807761,99.07518065480959,24.958692560205478
Kazakhstan,20034612.0,1504370.0,19072.0,0.09982723898022083,11.435210225184296,1.2690495502898813,98.69909235244249,34.60307491413858
Kenya,54252458.0,344140.0,5689.0,0.0018432344576903778,0.06819967493454399,1.657951345773798,98.17821229811709,5.325337727619803
Kiribati,130483.0,5085.0,24.0,0.0,4.598300161706889,0.471976401179941,99.56252863912205,49.31321102584792
Kosovo,1717950.0,274279.0,3212.0,0.11641782356878838,2.0955208242381906,1.171544145564999,98.46516536925137,40.64605332624812
Kuwait,4589514.0,667290.0,2570.0,0.0,0.43577598848156907,0.38609168550804107,99.5542304407135,69.22000219912879
Kyrgyzstan,6955792.0,88953.0,1024.0,0.0,1.1932501719430368,1.1511697188402863,98.85456861362664,16.961962167107448
Laos,7559008.0,219060.0,671.0,0.0,0.18520948780580732,0.30630877385191274,99.7635004577124,29.95869321300714
Latvia,1881059.0,977798.0,7720.0,0.0,14.087809047988394,0.7775817544936208,98.89185802305983,40.25480148161704
Lebanon,5744492.0,1239904.0,10947.0,0.12185585775034588,5.257209862943495,0.8828909334916252,98.94315639292286,22.41424878640377
Lesotho,2286112.0,36140.0,709.0,0.0,1.093559720608614,2.046970136271383,97.73727916601104,27.906839209977463
Liberia,5373297.0,8090.0,294.0,0.0,0.26054766747492275,3.7074401008827236,95.71554429649633,21.902293684374495
Libya,7223804.0,507269.0,6437.0,0.0,0.7336854654417534,1.269052045525788,98.55283762024558,11.804147498557086
Liechtenstein,39338.0,21649.0,89.0,0.0,10.16828511871473,0.41234247590808004,99.26595330022828,
Lithuania,2816923.0,1448050.0,9923.0,1.8814855784130415,2.2009831294643125,0.7336871563469137,98.94213422113017,55.25718345737884
Low-income countries,716865809.0,1945092.0,43529.0,0.019110968647132114,0.13475325338050823,2.2732898148225837,97.48539604749732,15.794079647411182
Lower-middle-income countries,3044254723.0,78235581.0,931048.0,0.058766435886055124,0.22744483067358617,1.1937415353280985,98.54234489416,41.66982478733099
Luxembourg,653315.0,401517.0,1000.0,0.0,5.05116214995829,0.2623962429008301,99.43206279082318,1.671076792793248
Madagascar,30437261.0,68733.0,1428.0,0.0,0.17741412408954932,2.0821781889281232,98.07580707322269,4.245006888389058
Malawi,20568731.0,89168.0,2686.0,0.0,0.24308743208319464,3.023583047222379,96.86897707085788,3.631002710766066
Malaysia,34695494.0,5329836.0,37351.0,0.04755660778313172,1.7062734428856956,0.722836701306437,99.22161886454555,66.9618864984329
Maldives,524116.0,186694.0,316.0,0.0,1.9079745705149243,0.16926092964958703,99.79299916799324,44.9729525316362
Mali,23072641.0,33199.0,743.0,0.0,0.047675513175973225,2.2470211113517093,97.14007490359458,4.560859775303294
Malta,528194.0,125286.0,1119.0,0.0,4.922433802731572,0.8203750748369768,99.09178686242704,71.88550045295236
Marshall Islands,40094.0,16297.0,17.0,0.0,7.482416321644137,0.10431367736393202,99.92620266833072,
Martinique,349462.0,230354.0,1104.0,0.0,32.62157258872209,0.4792623527266729,98.9975850019366,
Mauritania,4875644.0,63891.0,997.0,0.0,3.056006550109073,1.5709446151422044,97.61680273497704,15.522882720723663
Mauritius,1276134.0,332105.0,1074.0,0.0,4.623338928357054,0.3488507306484747,99.20250756436681,67.02282421901208
Mayotte,305279.0,42027.0,187.0,0.0,4.913538107763718,0.44516390125455285,99.3938186791765,
Mexico,128613116.0,7629928.0,335098.0,0.24258801100814634,1.1624008860807011,4.4170792424831395,93.78016498687273,28.420434283592733
Micronesia (country),112122.0,31765.0,65.0,0.0,11.594513119637538,0.2137582588418189,99.78870114158666,
Moldova,3039986.0,656455.0,12290.0,0.0,7.598719204627916,1.9535637506141998,97.85307942121007,21.209208484549436
Monaco,38950.0,17181.0,67.0,0.0,7.702182284980745,0.3981932723166528,99.39480671870693,41.99614890885751
Mongolia,3386015.0,1011489.0,2136.0,0.0,0.5611315956958254,0.2111823840671987,99.80266894776017,55.57143485779005
Montenegro,614649.0,251280.0,2654.0,0.0,11.388613664058674,1.058877445186811,97.26477079482348,33.443950231819684
Montserrat,4476.0,1403.0,8.0,0.0,44.68275245755139,0.5702066999287242,97.88414824395247,31.62937375403863
Morocco,37329068.0,1279115.0,16305.0,0.026788774903246982,0.34021744127123665,1.280638747652241,98.48720244765583,35.482482247344784
Mozambique,32656242.0,233927.0,2252.0,0.0,0.10411485804153461,0.9628828335777596,99.05656272937621,22.266074162789458
Myanmar,53756791.0,643401.0,19494.0,0.007440920348091463,0.7385113445480777,3.0346712929302173,97.03712575768421,28.778523436096794
Namibia,2889668.0,172557.0,4110.0,0.0,5.190907744419082,2.3818354621108506,97.92297539087934,5.757765504260927
Nauru,11822.0,5393.0,1.0,0.0,8.45880561664693,0.018542555164101613,99.98205343706992,77.28979868042632
Nepal,29715435.0,1003946.0,12034.0,0.006730508908922249,0.8278525957974365,1.1989635756639594,98.90555056715,41.70684338795646
Netherlands,17904421.0,8648106.0,22986.0,0.0,6.618477078929278,0.2672673845887668,98.5388124216312,53.892925589234565
New Caledonia,287130.0,80203.0,314.0,0.0,8.010308919304844,0.3915065521239854,99.58471686842613,46.06755292232869
New Zealand,5131731.0,2668236.0,4538.0,0.0,2.8450439042888256,0.16930469478052879,99.53799322223992,57.80632612715442
